Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,Agilent Technologies Inc.,Healthcare,Medical Laboratories & Research,USA,13.86,20.28,41.24,-0.0079,2666418
AA,Alcoa Inc.,Basic Materials,Aluminum,USA,19.97,0,16.83,-0.0065,7601145
AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,669.65,17.76,113.99,-0.0017,46477096
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,101.98,27.71,65.04,0.0163,7114029
ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,19.93,74.03,89.01,0.0020,1620611
ABT,Abbott Laboratories,Healthcare,Drugs - Generic,USA,65.97,40.19,43.71,-0.0023,3862309
ACE,ACE Limited,Financial,Property & Casualty Insurance,Switzerland,36.7,11.46,111.14,0.0047,1097508
ACN,Accenture plc,Technology,Information Technology Services,Ireland,56.26,19.92,84.65,0.0001,1887624
ACT,Actavis plc,Healthcare,Drugs - Generic,USA,64.61,0,247.94,0.0171,16657553
ADBE,Adobe Systems Inc.,Technology,Application Software,USA,35.62,148.79,69.97,-0.0203,2789388
ADI,"Analog Devices, Inc.",Technology,Semiconductor - Integrated Circuits,USA,15.91,22.3,50.35,-0.0053,1636626
ADM,Archer-Daniels-Midland Company,Consumer Goods,Farm Products,USA,33.06,17.59,51.99,0.0125,2868218
ADP,"Automatic Data Processing, Inc.",Technology,Business Software & Services,USA,40.85,26.65,84.84,0.0011,1517694
ADS,Alliance Data Systems Corporation,Services,Business Services,USA,16.96,32.44,280.88,-0.0160,500172
ADSK,"Autodesk, Inc.",Technology,Technical & System Software,USA,13.56,79.55,58.99,-0.0112,1469489
ADT,The ADT Corporation,Services,Security & Protection Services,USA,6.28,21.81,35.39,-0.0164,1334728
AEE,Ameren Corporation,Utilities,Electric Utilities,USA,10.24,17.44,43.07,0.0204,1237951
AEP,"American Electric Power Co., Inc.",Utilities,Electric Utilities,USA,27.43,15.32,57.19,0.0202,2894129
AES,The AES Corporation,Utilities,Electric Utilities,USA,9.6,21.73,13.76,0.0215,6047233
AET,Aetna Inc.,Healthcare,Health Care Plans,USA,29.48,13.95,86.22,0.0288,2886251
